Filename,Class Name,Substructure,Status
subsOlefinAlphaPeroxyGammaHydroPeroxy.sdf,c=ccooccooh(X)(XX)(XX),c=ccooccooh(h)(hh)(hh),UNIQUE
subsOlefinAlphaPeroxyGammaHydroPeroxy.sdf,c=ccooccooh(X)(XX)(XX),c=ccooccooh(r)(hh)(hh),UNIQUE
subsOlefinAlphaPeroxyGammaHydroPeroxy.sdf,c=ccooccooh(X)(XX)(XX),c=ccooccooh(h)(rh)(hh),UNIQUE
subsOlefinAlphaPeroxyGammaHydroPeroxy.sdf,c=ccooccooh(X)(XX)(XX),c=ccooccooh(r)(rh)(hh),UNIQUE
subsOlefinAlphaPeroxyGammaHydroPeroxy.sdf,c=ccooccooh(X)(XX)(XX),c=ccooccooh(h)(rr)(hh),UNIQUE
subsOlefinAlphaPeroxyGammaHydroPeroxy.sdf,c=ccooccooh(X)(XX)(XX),c=ccooccooh(r)(rr)(hh),UNIQUE
subsOlefinAlphaPeroxyGammaHydroPeroxy.sdf,c=ccooccooh(X)(XX)(XX),c=ccooccooh(h)(hh)(rh),UNIQUE
subsOlefinAlphaPeroxyGammaHydroPeroxy.sdf,c=ccooccooh(X)(XX)(XX),c=ccooccooh(r)(hh)(rh),UNIQUE
subsOlefinAlphaPeroxyGammaHydroPeroxy.sdf,c=ccooccooh(X)(XX)(XX),c=ccooccooh(h)(rh)(rh),UNIQUE
subsOlefinAlphaPeroxyGammaHydroPeroxy.sdf,c=ccooccooh(X)(XX)(XX),c=ccooccooh(r)(rh)(rh),UNIQUE
subsOlefinAlphaPeroxyGammaHydroPeroxy.sdf,c=ccooccooh(X)(XX)(XX),c=ccooccooh(h)(rr)(rh),UNIQUE
subsOlefinAlphaPeroxyGammaHydroPeroxy.sdf,c=ccooccooh(X)(XX)(XX),c=ccooccooh(r)(rr)(rh),UNIQUE
subsOlefinAlphaPeroxyGammaHydroPeroxy.sdf,c=ccooccooh(X)(XX)(XX),c=ccooccooh(h)(hh)(rr),UNIQUE
subsOlefinAlphaPeroxyGammaHydroPeroxy.sdf,c=ccooccooh(X)(XX)(XX),c=ccooccooh(r)(hh)(rr),UNIQUE
subsOlefinAlphaPeroxyGammaHydroPeroxy.sdf,c=ccooccooh(X)(XX)(XX),c=ccooccooh(h)(rh)(rr),UNIQUE
subsOlefinAlphaPeroxyGammaHydroPeroxy.sdf,c=ccooccooh(X)(XX)(XX),c=ccooccooh(r)(rh)(rr),UNIQUE
subsOlefinAlphaPeroxyGammaHydroPeroxy.sdf,c=ccooccooh(X)(XX)(XX),c=ccooccooh(h)(rr)(rr),UNIQUE
subsOlefinAlphaPeroxyGammaHydroPeroxy.sdf,c=ccooccooh(X)(XX)(XX),c=ccooccooh(r)(rr)(rr),UNIQUE
subsOlefinAlphaPeroxyBetaHydroPeroxy.sdf,c=ccoocooh(X)(XX),c=ccoocooh(h)(hh),UNIQUE
subsOlefinAlphaPeroxyBetaHydroPeroxy.sdf,c=ccoocooh(X)(XX),c=ccoocooh(r)(hh),UNIQUE
subsOlefinAlphaPeroxyBetaHydroPeroxy.sdf,c=ccoocooh(X)(XX),c=ccoocooh(h)(rh),UNIQUE
subsOlefinAlphaPeroxyBetaHydroPeroxy.sdf,c=ccoocooh(X)(XX),c=ccoocooh(r)(rh),UNIQUE
subsOlefinAlphaPeroxyBetaHydroPeroxy.sdf,c=ccoocooh(X)(XX),c=ccoocooh(h)(rr),UNIQUE
subsOlefinAlphaPeroxyBetaHydroPeroxy.sdf,c=ccoocooh(X)(XX),c=ccoocooh(r)(rr),UNIQUE
subsOlefinAlphaHydroPeroxy.sdf,c=ccoohc(X)(XX),c=ccoohc(h)(hh),UNIQUE
subsOlefinAlphaHydroPeroxy.sdf,c=ccoohc(X)(XX),c=ccoohc(r)(hh),UNIQUE
subsOlefinAlphaHydroPeroxy.sdf,c=ccoohc(X)(XX),c=ccoohc(h)(rh),UNIQUE
subsOlefinAlphaHydroPeroxy.sdf,c=ccoohc(X)(XX),c=ccoohc(r)(rh),UNIQUE
subsOlefinAlphaHydroPeroxy.sdf,c=ccoohc(X)(XX),c=ccoohc(h)(rr),UNIQUE
subsOlefinAlphaHydroPeroxy.sdf,c=ccoohc(X)(XX),c=ccoohc(r)(rr),UNIQUE
subsOlefinAlphaHydroPeroxyC5.sdf,c=ccoohcc(X)(XX)(XX),c=ccoohcc(h)(hh)(hh),UNIQUE
subsOlefinAlphaHydroPeroxyC5.sdf,c=ccoohcc(X)(XX)(XX),c=ccoohcc(r)(hh)(hh),UNIQUE
subsOlefinAlphaHydroPeroxyC5.sdf,c=ccoohcc(X)(XX)(XX),c=ccoohcc(h)(rh)(hh),UNIQUE
subsOlefinAlphaHydroPeroxyC5.sdf,c=ccoohcc(X)(XX)(XX),c=ccoohcc(r)(rh)(hh),UNIQUE
